,Issue No,Issue Date,Gazette Number,Category,Department,URL,Deleted,Archived URL,Archived Date
0,101,2023-03-23,Part II-Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,HOME DEPARTMENT--Constitution of a District and sessions Court at Mayiladuthurai District under the Tamil Nadu Civil Courts Act and Code of Criminal Procedure,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/101_Ex_II_2.pdf,False,https://web.archive.org/web/20230401003143/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/101_Ex_II_2.pdf,2023-04-01 00:31:43
1,85,2023-03-09,Part II-Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,FINANCE DEPARTMENT - Market Borrowing Programme of State Government by Auction,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/85_Ex_II_1_2023.pdf,False,https://web.archive.org/web/20230403130446/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/85_Ex_II_1_2023.pdf,2023-04-03 13:04:46
2,84,2023-03-08,Part II—Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,LABOUR WELFARE AND SKILL DEVELOPMENT DEPARTMENT-- Nomination of Official and Non-Official Members to the Tamil Nadu Unorganised Drivers and Automobile Workshop Workers Welfare Board……..,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/84_Ex_II_2_2023.pdf,True,,
3,83,2023-03-08,Part III--Section 1(a),"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments.","LABOUR WELFARE AND SKILL DEVELOPMENT DEPARTMENT--Tamil Nadu Civil Services (Appointment on Compassionate Grounds Rules, 2023.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/83_Ex_III_1a_2023.pdf,True,https://web.archive.org/web/20230312153229/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/83_Ex_III_1a_2023.pdf,2023-03-12 15:32:29
4,82,2023-03-08,Part VI-Section 2,"Notifications or Orders of interest to a section of the public issued by Heads of Departments, etc.","TAMIL NADU STATE ELECTION COMMISSION, CHENNAI-600 106 - Elections – Urban Local Bodies - Indirect Elections – Casual Vacancy in the Office of the Member of Taxation Appeals Committee of Dhaliyur Town Panchayat of Coimbatore District.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/82_Ex_VI_2_2023.pdf,False,https://web.archive.org/web/20230401003143/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/82_Ex_VI_2_2023.pdf,2023-04-01 00:31:43
5,80,2023-03-07,Part II-Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"RURAL DEVELOPMENT AND PANCHAYAT RAJ DEPARTMENT - Constitution of District Planning Committee in Chengalpattu, Ranipet, Tirupathur, Kallakurichi and Tenkasi Districts under the Tamil Nadu Panchayats Act, 1994",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/80_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003143/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/80_Ex_II_2_2023.pdf,2023-04-01 00:31:43
6,79,2023-03-03,Part III--Section 1(a),"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments.","MUNICIPAL ADMINISTRATION AND WATER SUPPLY DEPARTMENT--Amendments to the Tamil Nadu Municipal Corporations Ward Committee (Powers and Functions) Rules, 1996.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/79_Ex_III_1a_2023.pdf,True,,
7,78,2023-03-03,Part V-Section 1,"Notifications by Government, Public (Elections) Department","PUBLIC (ELECTIONS) DEPARTMENT--Declaration of Result of Bye-Election to Tamil Nadu Legislative Assembly from 98. Erode (East) Assembly Constituency, 2023",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/78_Ex_V_1_2023.pdf,False,https://web.archive.org/web/20230401003143/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/78_Ex_V_1_2023.pdf,2023-04-01 00:31:43
8,77,2023-03-02,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments.,FINANCE DEPARTMENT--Market Borrowing Programme of State Government by Auction,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/77_Ex_II_1_2023.pdf,True,,
9,76,2023-03-02,Part III--Section 1(a),"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments.","PUBLIC DEPARTMENT--Amendments to the Tamil Nadu Legislative Assembly Travelling Allowance Rules, 1955",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/76_Ex_III_1a_2023.pdf,True,,
10,74,2023-02-28,Part VI-Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005.--Acquisition of Lands.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/74_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003143/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/74_Ex_VI_1_2023.pdf,2023-04-01 00:31:43
11,73,2023-02-24,Part VI-Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005.--Acquisition of Lands.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/73_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003143/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/73_Ex_VI_1_2023.pdf,2023-04-01 00:31:43
12,72,2023-02-23,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments.,FINANCE DEPARTMENT--Market Borrowing Programme of State Government by Auction,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/72_Ex_II_1_2023.pdf,True,,
13,71,2023-02-23,Part II—Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,PUBLIC DEPARTMENT (Law and Order-A)--Law and Order - Payment of compensation amount to the victims of custodial death/torture/ rape by the police / prison officials and police firing……..,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/71_Ex_II_2_2023.pdf,True,,
14,70,2023-02-22,Part IV--Section 2,Tamil Nadu Acts and Ordinances,ACT No. 3 of 2023,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/70_Ex_IV_2_2023.pdf,True,,
15,69,2023-02-22,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments.,FINANCE DEPARTMENT--Issue of State Government Securities,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/69_Ex_II_1_2023.pdf,True,,
16,68,2023-02-21,Part VI-Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005.--Acquisition of Lands.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/68_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003222/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/68_Ex_VI_1_2023.pdf,2023-04-01 00:32:22
17,67,2023-02-16,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments.,FINANCE DEPARTMENT--Market Borrowing programme of State Government by Auction,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/67_Ex_II_1_2023.pdf,True,,
18,66,2023-02-14,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands--Form-C--Notice under Section 3(1) of Tamil Nadu Acquisition of Land for Industrial Purposes Act, 1997",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/66_Ex_VI_1.pdf,False,https://web.archive.org/web/20230401003223/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/66_Ex_VI_1.pdf,2023-04-01 00:32:23
19,65,2023-02-13,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/65_Ex_VI_1_2023.pdf,True,,
20,64,2023-02-11,Part V--Section 2,"Notifications relating to list of contesting candidates from Collector and Returning Officer, other Heads of Departments, Election Tribunals etc.","ELECTION COMMISSION OF INDIA--Bye-Election to Tamil Nadu Legislative Assembly, 2023.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/64_Ex_V_2_2023.pdf,True,,
21,63,2023-02-10,Part V--Section 4,Notifications by the Election Commission of India,Election Commission’s direction specifying that the votes at the current Bye-election to Tamil Nadu Legislative Assembly from 98. Erode (East) Assembly Constituency shall be given and recorded by means of Electronic Voting Machines and VVPAT,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/63_Ex_V_4_2023.pdf,True,,
22,62,2023-02-09,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,PUBLIC DEPARTMENT (Miscellaneous)--Declaration of monday the 27th February 2023 as a Public Holiday in connection with the bye-election to Tamil Nadu Legislative Assembly from 98. Erode (East) Assembly Constituency in Tamil Nadu.,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/62_Ex_II_1_2023.pdf,True,,
23,61,2023-02-09,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--FORM-C--Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/61_Ex_VI_1_2023.pdf,True,,
24,60,2023-02-09,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"TRANSPORT DEPARTMENT--Notice under Sub-Section (1) of Section 4 of the Tamil Nadu Acquisition of Land for Industrial Purposes Act, 1997 (Tamil Nadu Act 10 of 1999).",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/60_Ex_II_2_2023.pdf,True,,
25,59,2023-02-09,Part V--Section 4,Notifications by the Election Commission of India,NOTIFICATION BY THE ELECTION COMMISSION OF INDIA--Election Commission’s notification regarding Exit Poll at the Bye-Election to Tamil Nadu Legislative Assembly from 98.Erode (East) Assembly Constituency,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/59_Ex_V_4_2023.pdf,True,,
26,58,2023-02-08,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/58_Ex_VI_1_2023.pdf,True,,
27,57,2023-02-08,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands--Form-C--Notice under Section 3(1) of Tamil Nadu Acqusition of land for Industrial Purposes Act, 1997",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/57_Ex_VI_1.pdf,False,https://web.archive.org/web/20230401003222/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/57_Ex_VI_1.pdf,2023-04-01 00:32:22
28,56,2023-02-08,Part V--Section 4,Notification by the Election Commission of India,NOTIFICATION BY THE ELECTION COMMISSION OF INDIA - Order of Election Commission of India Regarding Identification of Electors During the Bye-Election to Tamil Nadu Legislative Assembly From 98. Erode (East),http://www.stationeryprinting.tn.gov.in/extraordinary/2023/56_Ex_V_4_2023,True,,
29,55,2023-02-07,Part VI—Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/55_Ex_VI_1_2023.pdf,True,,
30,54,2023-02-06,Par II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments,COMMERCIAL TAXES AND REGISTRATION DEPARTMENT - Notification regarding the appointment of the Special Officer under the Tamil Nadu Societies Registration Act (Registration No. 16/1984).,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/54_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003223/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/54_Ex_II_2_2023.pdf,2023-04-01 00:32:23
31,53,2023-02-06,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands--Notice Under Section 3(1) of Tamil Nadu Acquisition of Land for Industrial Purposes Act,1997",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/53_Ex_VI_1.pdf,False,https://web.archive.org/web/20230401003223/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/53_Ex_VI_1.pdf,2023-04-01 00:32:23
32,52,2023-02-06,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments.,"PUBLIC DEPARTMENT - (Military) - Notification under the Manoeuvres, Field Firing and Artillery Practice Act.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/52_Ex_II_1_2023.pdf,False,https://web.archive.org/web/20230401003224/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/52_Ex_II_1_2023.pdf,2023-04-01 00:32:24
33,51,2023-02-03,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/51_Ex_VI_1_2023.pdf,True,,
34,50,2023-02-03,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc.","THE COMMISSIONER OF LAND ADMINISTRATION, CHEPAUK, CHENNAI-600 005--Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/50_Ex_VI_1_2023.pdf,True,,
35,49,2023-02-03,Part V--Section 4,Notification by the Election Commission of India,NOTIFICATION BY THE ELECTION COMMISSION OF INDIA -Amendment to the List of Returning officer for the Assembly Constituency in The State of Tamil Nadu,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/49_Ex_V_4_2023.pdf,False,https://web.archive.org/web/20230401003302/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/49_Ex_V_4_2023.pdf,2023-04-01 00:33:02
36,48,2023-02-02,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc","CONSTITUTION OF A SUB COURT AT MUSIRI IN TIRUCHIRAPPALLI DISTRICT OF THE TAMIL NADU CIVIL COURTS ACT, 1873.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/48_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003302/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/48_Ex_VI_1_2023.pdf,2023-04-01 00:33:02
